,SITE,TRANSECT,REPLICATE,SIZE_MM,NUM_AO,AREA,YEAR,MONTH,DATE,RECORD_ID
0,IVEE,1,A,,0,300,2012,8,2012-08-20,1
26,IVEE,5,B,62.0,0,300,2012,8,2012-08-20,2
27,IVEE,5,B,86.0,0,300,2012,8,2012-08-20,3
28,IVEE,5,B,105.0,0,300,2012,8,2012-08-20,4
29,IVEE,5,C,,0,300,2012,8,2012-08-20,5
30,IVEE,5,D,,0,300,2012,8,2012-08-20,6
31,IVEE,6,A,,0,300,2012,8,2012-08-20,7
32,IVEE,6,B,57.0,0,300,2012,8,2012-08-20,8
33,IVEE,6,B,60.0,0,300,2012,8,2012-08-20,9
34,IVEE,6,C,,0,300,2012,8,2012-08-20,10
35,IVEE,6,D,,0,300,2012,8,2012-08-20,11
36,IVEE,7,A,,0,300,2012,8,2012-08-20,12
37,IVEE,7,B,,0,300,2012,8,2012-08-20,13
38,IVEE,7,C,,0,300,2012,8,2012-08-20,14
39,IVEE,7,D,53.0,0,300,2012,8,2012-08-20,15
40,IVEE,7,D,56.0,0,300,2012,8,2012-08-20,16
41,IVEE,8,A,,0,300,2012,8,2012-08-20,17
42,IVEE,8,B,,0,300,2012,8,2012-08-20,18
43,IVEE,8,C,,0,300,2012,8,2012-08-20,19
44,IVEE,8,D,58.0,0,300,2012,8,2012-08-20,20
45,IVEE,8,D,60.0,0,300,2012,8,2012-08-20,21
6242,IVEE,5,B,60.0,0,300,2012,8,2012-08-20,22
25,IVEE,5,B,58.0,0,300,2012,8,2012-08-20,23
24,IVEE,5,A,70.0,0,300,2012,8,2012-08-20,24
5223,IVEE,5,B,60.0,0,300,2012,8,2012-08-20,25
22,IVEE,5,A,60.0,0,300,2012,8,2012-08-20,26
23,IVEE,5,A,64.0,0,300,2012,8,2012-08-20,27
1,IVEE,1,B,,0,300,2012,8,2012-08-20,28
2,IVEE,1,C,,0,300,2012,8,2012-08-20,29
4,IVEE,2,A,,0,300,2012,8,2012-08-20,30
5,IVEE,2,B,,0,300,2012,8,2012-08-20,31
