SITE,TRANSECT,REPLICATE,SIZE_MM,COUNT,NUM_AO,AREA,YEAR,MONTH,DATE
IVEE,1,A,,0,0,300,2012,8,2012-08-20
IVEE,1,B,,0,0,300,2012,8,2012-08-20
IVEE,1,C,,0,0,300,2012,8,2012-08-20
IVEE,1,D,,0,0,300,2012,8,2012-08-20
IVEE,2,A,,0,0,300,2012,8,2012-08-20
IVEE,2,B,,0,0,300,2012,8,2012-08-20
IVEE,2,C,,0,0,300,2012,8,2012-08-20
IVEE,2,D,,0,0,300,2012,8,2012-08-20
IVEE,3,A,70.0,1,0,300,2012,8,2012-08-20
IVEE,3,B,60.0,1,0,300,2012,8,2012-08-20
IVEE,3,B,65.0,1,0,300,2012,8,2012-08-20
IVEE,3,B,70.0,1,0,300,2012,8,2012-08-20
IVEE,3,B,85.0,1,0,300,2012,8,2012-08-20
IVEE,3,C,60.0,1,0,300,2012,8,2012-08-20
IVEE,3,C,65.0,1,0,300,2012,8,2012-08-20
IVEE,3,C,67.0,1,0,300,2012,8,2012-08-20
IVEE,3,D,70.0,1,0,300,2012,8,2012-08-20
IVEE,4,A,,0,0,300,2012,8,2012-08-20
IVEE,4,B,85.0,1,0,300,2012,8,2012-08-20
IVEE,4,C,,0,0,300,2012,8,2012-08-20
IVEE,4,D,,0,0,300,2012,8,2012-08-20
IVEE,5,A,52.0,1,0,300,2012,8,2012-08-20
IVEE,5,A,60.0,1,0,300,2012,8,2012-08-20
IVEE,5,A,64.0,1,0,300,2012,8,2012-08-20
IVEE,5,A,70.0,1,0,300,2012,8,2012-08-20
IVEE,5,B,58.0,1,0,300,2012,8,2012-08-20
IVEE,5,B,60.0,2,0,300,2012,8,2012-08-20
IVEE,5,B,62.0,1,0,300,2012,8,2012-08-20
IVEE,5,B,86.0,1,0,300,2012,8,2012-08-20
IVEE,5,B,105.0,1,0,300,2012,8,2012-08-20
IVEE,5,C,,0,0,300,2012,8,2012-08-20
IVEE,5,D,,0,0,300,2012,8,2012-08-20
IVEE,6,A,,0,0,300,2012,8,2012-08-20
IVEE,6,B,57.0,1,0,300,2012,8,2012-08-20
IVEE,6,B,60.0,1,0,300,2012,8,2012-08-20
IVEE,6,C,,0,0,300,2012,8,2012-08-20
IVEE,6,D,,0,0,300,2012,8,2012-08-20
IVEE,7,A,,0,0,300,2012,8,2012-08-20
IVEE,7,B,,0,0,300,2012,8,2012-08-20
IVEE,7,C,,0,0,300,2012,8,2012-08-20
IVEE,7,D,53.0,1,0,300,2012,8,2012-08-20
IVEE,7,D,56.0,1,0,300,2012,8,2012-08-20
IVEE,8,A,,0,0,300,2012,8,2012-08-20
IVEE,8,B,,0,0,300,2012,8,2012-08-20
IVEE,8,C,,0,0,300,2012,8,2012-08-20
IVEE,8,D,58.0,1,0,300,2012,8,2012-08-20
IVEE,8,D,60.0,1,0,300,2012,8,2012-08-20
NAPL,1,A,,0,0,300,2012,8,2012-08-22
NAPL,1,B,,0,0,300,2012,8,2012-08-22
NAPL,1,C,,0,0,300,2012,8,2012-08-22
NAPL,1,D,83.0,1,0,300,2012,8,2012-08-22
NAPL,2,A,,0,0,300,2012,8,2012-08-22
NAPL,2,B,75.0,1,0,300,2012,8,2012-08-22
NAPL,2,C,,0,0,300,2012,8,2012-08-22
NAPL,2,D,,0,0,300,2012,8,2012-08-22
NAPL,3,A,,0,0,300,2012,8,2012-08-22
NAPL,3,B,60.0,1,0,300,2012,8,2012-08-22
NAPL,3,B,65.0,2,0,300,2012,8,2012-08-22
NAPL,3,C,,0,0,300,2012,8,2012-08-22
NAPL,3,D,,0,0,300,2012,8,2012-08-22
NAPL,4,A,,0,0,300,2012,8,2012-08-22
NAPL,4,B,,0,0,300,2012,8,2012-08-22
NAPL,4,C,,0,0,300,2012,8,2012-08-22
NAPL,4,D,,0,0,300,2012,8,2012-08-22
NAPL,5,A,,0,0,300,2012,8,2012-08-22
NAPL,5,B,,0,0,300,2012,8,2012-08-22
NAPL,5,C,,0,0,300,2012,8,2012-08-22
NAPL,5,D,90.0,1,0,300,2012,8,2012-08-22
NAPL,6,A,,0,0,300,2012,8,2012-08-22
NAPL,6,B,,0,0,300,2012,8,2012-08-22
NAPL,6,C,,0,0,300,2012,8,2012-08-22
NAPL,6,D,,0,0,300,2012,8,2012-08-22
NAPL,7,A,,0,0,300,2012,8,2012-08-22
NAPL,7,B,,0,0,300,2012,8,2012-08-22
NAPL,7,C,,0,0,300,2012,8,2012-08-22
NAPL,7,D,,0,0,300,2012,8,2012-08-22
NAPL,8,A,,0,0,300,2012,8,2012-08-22
NAPL,8,B,,0,0,300,2012,8,2012-08-22
NAPL,8,C,,0,0,300,2012,8,2012-08-22
NAPL,8,D,,0,0,300,2012,8,2012-08-22
NAPL,9,A,,0,0,300,2012,8,2012-08-22
NAPL,9,B,,0,0,300,2012,8,2012-08-22
NAPL,9,C,,0,0,300,2012,8,2012-08-22
NAPL,9,D,,0,0,300,2012,8,2012-08-22
AQUE,1,A,,0,0,300,2012,8,2012-08-24
AQUE,1,B,,0,0,300,2012,8,2012-08-24
AQUE,1,C,55.0,1,0,300,2012,8,2012-08-24
AQUE,1,D,58.0,1,0,300,2012,8,2012-08-24
